# # k [h/Mpc]  P_LCDM [(Mpc/h)^3]  P_SRC [(Mpc/h)^3]  deltaP_over_P
# # z = 0.5
3.2000739739e+00 2.6276798414e+00 2.6276380673e+00 -1.5897697710e-05
3.2151686133e+00 2.5894809118e+00 2.5894403219e+00 -1.5674926201e-05
3.2302632527e+00 2.5512819823e+00 2.5512425765e+00 -1.5445483823e-05
3.2453578921e+00 2.5130830527e+00 2.5130448311e+00 -1.5209066385e-05
3.2604525315e+00 2.4748841232e+00 2.4748470857e+00 -1.4965350914e-05
3.2755471709e+00 2.4366851936e+00 2.4366493403e+00 -1.4713994185e-05
3.2906418103e+00 2.3984862641e+00 2.3984515948e+00 -1.4454631108e-05
3.3057364497e+00 2.3602873345e+00 2.3602538494e+00 -1.4186872958e-05
3.3208310890e+00 2.3220884050e+00 2.3220561040e+00 -1.3910305433e-05
3.3359257284e+00 2.2838894754e+00 2.2838583586e+00 -1.3624486510e-05
3.3510203678e+00 2.2510218823e+00 2.2509760237e+00 -2.0372354976e-05
3.3661150072e+00 2.2337530070e+00 2.2337076355e+00 -2.0311794323e-05
3.3812096466e+00 2.2164841317e+00 2.2164392472e+00 -2.0250290000e-05
3.3963042860e+00 2.1992152563e+00 2.1991708590e+00 -2.0187819778e-05
3.4113989254e+00 2.1819463810e+00 2.1819024707e+00 -2.0124360723e-05
3.4264935648e+00 2.1646775057e+00 2.1646340825e+00 -2.0059889169e-05
3.4415882042e+00 2.1474086304e+00 2.1473656943e+00 -1.9994380690e-05
3.4566828436e+00 2.1301397550e+00 2.1300973060e+00 -1.9927810066e-05
3.4717774830e+00 2.1128708797e+00 2.1128289178e+00 -1.9860151255e-05
3.4868721224e+00 2.0956020044e+00 2.0955605295e+00 -1.9791377355e-05
3.5019667618e+00 2.0783331291e+00 2.0782921413e+00 -1.9721460570e-05
3.5170614012e+00 2.0610642537e+00 2.0610237531e+00 -1.9650372172e-05
3.5321560406e+00 2.0437953784e+00 2.0437553648e+00 -1.9578082463e-05
3.5472506800e+00 2.0265265031e+00 2.0264869766e+00 -1.9504560734e-05
3.5623453194e+00 2.0092576278e+00 2.0092185883e+00 -1.9429775216e-05
3.5774399588e+00 1.9919887524e+00 1.9919502001e+00 -1.9353693043e-05
3.5925345982e+00 1.9747198771e+00 1.9746818119e+00 -1.9276280197e-05
3.6076292376e+00 1.9574510018e+00 1.9574134236e+00 -1.9197501459e-05
3.6227238770e+00 1.9401821265e+00 1.9401450354e+00 -1.9117320357e-05
3.6378185163e+00 1.9229132511e+00 1.9228766471e+00 -1.9035699110e-05
3.6529131557e+00 1.9056443758e+00 1.9056082589e+00 -1.8952598566e-05
3.6680077951e+00 1.8883755005e+00 1.8883398706e+00 -1.8867978141e-05
3.6831024345e+00 1.8711066252e+00 1.8710714824e+00 -1.8781795754e-05
3.6981970739e+00 1.8538377498e+00 1.8538030942e+00 -1.8694007753e-05
3.7132917133e+00 1.8365688745e+00 1.8365347059e+00 -1.8604568848e-05
3.7283863527e+00 1.8192999992e+00 1.8192663177e+00 -1.8513432026e-05
3.7434809921e+00 1.8020311238e+00 1.8019979294e+00 -1.8420548475e-05
3.7585756315e+00 1.7847622485e+00 1.7847295412e+00 -1.8325867492e-05
3.7736702709e+00 1.7674933732e+00 1.7674611530e+00 -1.8229336393e-05
